AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;FUNDICION;IDH;INGRESO FAMILIAR;MINERIA NO METALICA;MINERIA SUBTERRANEA;POBLACION 18 AÑOS;POBLACION;REFINERIA;TOTAL DE TRANSFERENCIAS
2008;02-301206;LUCMA;  MUNICIPALIDAD DISTRITAL DE LUCMA;GRAN CHIMU;LA LIBERTAD;131102;5.104664943;653929.25;72.25417217;;0.196759209;155.0693421;1;;16.97471831;6056.5;;713886.37
2008;03-301211;GUADALUPITO;  MUNICIPALIDAD DISTRITAL DE GUADALUPITO;VIRU;LA LIBERTAD;131203;5.989731584;466989.58;74.6810638;;0.325230784;323.2784697;1;;43.98625414;6849.5;;514285.2
2008;04-301235;MANUEL ANTONIO MESONES MURO;  MUNICIPALIDAD DISTRITAL DE MANUEL ANTONIO MESONES MURO;FERREÑAFE;LAMBAYEQUE;140204;6.389020403;;69.07268105;;0.313587542;286.3673534;1;;56.20243078;4219;;0
2008;06-301255;CARABAYLLO;  MUNICIPALIDAD DISTRITAL DE CARABAYLLO;LIMA;LIMA;150106;10.75702024;471466.36;76.49084266;;0.499132804;573.1231962;1;;73.23892918;230231.5;;518048.24
2008;18-301267;LURIGANCHO;  MUNICIPALIDAD DISTRITAL DE LURIGANCHO (CHOSICA);LIMA;LIMA;150118;10.60683995;542365.73;76.76572372;;0.520188564;634.8683492;;;76.1192038;179666.5;1;576208.77
2008;19-301268;LURIN;  MUNICIPALIDAD DISTRITAL DE LURIN;LIMA;LIMA;150119;9.918573833;536370.87;76.58359355;;0.502860543;623.1779786;1;;70.76819117;67330.5;;617869.85
2008;23-301272;PACHACAMAC;  MUNICIPALIDAD DISTRITAL DE PACHACAMAC;LIMA;LIMA;150123;9.765927691;633610.56;76.3644846;;0.473732323;548.013678;1;;66.48387479;78105;;678096.39
2008;43-301292;VILLA MARIA DEL TRIUNFO;  MUNICIPALIDAD DISTRITAL DE VILLA MARIA DEL TRIUNFO;LIMA;LIMA;150143;10.01591045;636132.9;76.79670766;;0.505252377;611.9348623;1;;74.13308716;395132.5;;900591.99
2008;02-301312;ASIA;  MUNICIPALIDAD DISTRITAL DE ASIA;CAÑETE;LIMA;150502;8.709182726;1173067.06;76.56290023;;0.44710101;539.2609065;1;;57.75120685;7127;;1496918.34
2008;05-301315;CHILCA;  MUNICIPALIDAD DISTRITAL DE CHILCA;CAÑETE;LIMA;150505;8.810037285;1518508.9;76.91036354;;0.460778408;579.3157348;1;;57.4487257;14945;;2015073.29
2008;06-301316;COAYLLO;  MUNICIPALIDAD DISTRITAL DE COAYLLO;CAÑETE;LIMA;150506;8.875647231;192250.26;77.67453099;;0.43036631;386.1435194;;1;88.87208126;1057.5;;251167.43
2008;01-301327;HUARAL;  MUNICIPALIDAD PROVINCIAL DE HUARAL;HUARAL;LIMA;150601;8.573239688;9854210.86;77.10119972;;0.453891453;509.9675323;;1;70.06023315;91646;;11952997
2008;10-301336;SANTA CRUZ DE ANDAMARCA;  MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE ANDAMARCA;HUARAL;LIMA;150610;8.146165176;215138.14;76.16875237;;0.378087884;323.1474838;;1;69.62565077;1265.5;;253356.28
2008;05-301343;CHICLA;  MUNICIPALIDAD DISTRITAL DE CHICLA;HUAROCHIRI;LIMA;150705;8.135414947;8018786.88;71.72997424;;0.483474856;784.915076;;1;64.77298285;7363.5;;10282590.63
2008;16-301354;SAN ANTONIO;  MUNICIPALIDAD DISTRITAL DE SAN ANTONIO;HUAROCHIRI;LIMA;150716;8.080680775;2397571.54;72.11697269;;0.308963242;199.1929395;1;;71.89050212;4744.5;;2606393
2008;22-301360;SAN MATEO;  MUNICIPALIDAD DISTRITAL DE SAN MATEO;HUAROCHIRI;LIMA;150722;9.647322665;2551069.45;71.34853771;;0.447189695;523.933851;;1;70.50509972;5309.5;;2790086.08
2008;01-301371;HUACHO;  MUNICIPALIDAD PROVINCIAL DE HUAURA;HUAURA;LIMA;150801;8.973167576;2739187.54;75.80491415;;0.509651786;652.590166;1;;83.55137284;56629.5;;3297981.29
2008;01-301383;OYON;  MUNICIPALIDAD PROVINCIAL DE OYON;OYON;LIMA;150901;7.376239227;6990102.61;74.10145581;;0.40224562;473.3354538;1;1;56.838256;13231;;11643121.7
