AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;CANTIDADDEEMPRESAS;ESPERANZA DE VIDA;IDH;INGRESO FAMILIAR;POBLACION 18 AÑOS;POBLACION;TOTAL DE TRANSFERENCIAS
2004;03-301199;CACHICADAN;  MUNICIPALIDAD DISTRITAL DE CACHICADAN;SANTIAGO DE CHUCO;LA LIBERTAD;131003;6.181182152;74046.07;1;71.55057956;0.267068917;246.8884313;26.64805641;5925;74046.07
2004;02-301482;CARUMAS;  MUNICIPALIDAD DISTRITAL DE CARUMAS;MARISCAL NIETO;MOQUEGUA;180102;6.660985328;1000377.71;1;73.8675124;0.345052836;299.2521116;66.16176292;4629.5;1000377.71
2004;06-301486;TORATA;  MUNICIPALIDAD DISTRITAL DE TORATA;MARISCAL NIETO;MOQUEGUA;180106;9.3445577;2370953.39;1;74.44582848;0.452056043;483.8936782;71.59875962;7316.5;2370953.39
2004;09-301509;SIMON BOLIVAR;  MUNICIPALIDAD DISTRITAL DE SIMON BOLIVAR;PASCO;PASCO;190109;9.676542777;281580.23;3;71.0166503;0.368233399;286.8064291;74.39918575;15558;281580.23
2004;11-301511;TINYAHUARCO;  MUNICIPALIDAD DISTRITAL DE TINYAHUARCO;PASCO;PASCO;190111;9.5776764;65418.78;1;70.8229769;0.367365801;293.3929174;70.18923178;5301.5;65418.78
2004;05-301657;OCUVIRI;  MUNICIPALIDAD DISTRITAL DE OCUVIRI;LAMPA;PUNO;210705;7.507736897;37256.96;2;64.2357247;0.235059699;162.7412661;43.79458555;2422;37256.96
2004;09-301661;SANTA LUCIA;  MUNICIPALIDAD DISTRITAL DE SANTA LUCIA;LAMPA;PUNO;210709;5.947261418;115126.41;1;65.7357426;0.261325422;202.7500239;51.82122709;8226.5;115126.41
2004;07-301784;PALCA;  MUNICIPALIDAD DISTRITAL DE PALCA;TACNA;TACNA;230107;6.789010564;191604.82;1;73.1594697;0.320441216;284.0722057;59.25738953;1510.5;191604.82
2004;02-301794;ILABAYA;  MUNICIPALIDAD DISTRITAL DE ILABAYA;JORGE BASADRE;TACNA;230302;10.73580022;4007128.78;1;72.75444648;0.524959884;695.4863735;74.7598234;6125.5;4007128.78
2005;06-300090;JANGAS;  MUNICIPALIDAD DISTRITAL DE JANGAS;HUARAZ;ANCASH;20106;4.868675123;2908810.96;1;68.73334117;0.259486055;218.4952474;48.63330469;4224;2909505.61
2005;14-300163;SAN MARCOS;  MUNICIPALIDAD DISTRITAL DE SAN MARCOS;HUARI;ANCASH;21014;7.058993375;381113.4;1;69.30312196;0.268707093;218.6756619;33.90795902;13079.5;450497.28
2005;03-300281;HUAQUIRCA;  MUNICIPALIDAD DISTRITAL DE HUAQUIRCA;ANTABAMBA;APURIMAC;30303;5.519277777;9395.29;1;62.65724158;0.181214161;159.5121453;14.46273423;1623.5;12982.77
2005;06-300308;CHALLHUAHUACHO;  MUNICIPALIDAD DISTRITAL DE CHALLHUAHUACHO;COTABAMBAS;APURIMAC;30506;4.376352369;28883.98;1;66.92774635;0.180025816;141.1909154;22.31597331;6447.5;39770.58
2005;27-300357;YARABAMBA;  MUNICIPALIDAD DISTRITAL DE YARABAMBA;AREQUIPA;AREQUIPA;40127;9.311046393;1168672.98;1;71.4126151;0.421724061;376.0596356;93.98362815;1027;1175244.54
2005;07-300374;CHALA;  MUNICIPALIDAD DISTRITAL DE CHALA;CARAVELI;AREQUIPA;40307;9.868127076;198244.26;1;72.23792027;0.390297824;394.3071132;47.40731909;4063;242963.6
2005;05-300399;CAYLLOMA;  MUNICIPALIDAD DISTRITAL DE CAYLLOMA;CAYLLOMA;AREQUIPA;40505;6.557706535;287378.62;1;67.480195;0.274035922;298.7055265;24.22127828;4668;322133.67
2005;08-300422;YANAQUIHUA;  MUNICIPALIDAD DISTRITAL DE YANAQUIHUA;CONDESUYOS;AREQUIPA;40608;7.4474118;423281.9;1;68.49798794;0.340196731;310.8241256;60.89877296;4327;502402.52
2005;05-300483;CHAVIÑA;  MUNICIPALIDAD DISTRITAL DE CHAVIÑA;LUCANAS;AYACUCHO;50605;5.372603653;8606.96;1;67.5330242;0.218396377;154.9350635;37.18660355;2700.5;9570.97
2005;02-300501;CHUMPI;  MUNICIPALIDAD DISTRITAL DE CHUMPI;PARINACOCHAS;AYACUCHO;50702;4.966554849;33628.35;1;63.9139988;0.212485086;163.7708048;36.41818292;3144.5;35010.35
2005;01-300549;CAJAMARCA;  MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;9.170373368;48635294.05;1;71.81014238;0.360191507;303.5913589;60.31767354;170914.5;48635294.05
2005;05-300553;ENCAÑADA;  MUNICIPALIDAD DISTRITAL DE ENCAÑADA;CAJAMARCA;CAJAMARCA;60105;3.44284141;19058872.96;1;68.40177175;0.178261148;160.725125;21.33413034;25085.5;19058872.96
2005;02-300563;CACHACHI;  MUNICIPALIDAD DISTRITAL DE CACHACHI;CAJABAMBA;CAJAMARCA;60202;3.502723487;1844773.75;1;70.73638711;0.172189588;170.8619834;12.96061907;24100;1844773.75
2005;03-300622;HUALGAYOC;  MUNICIPALIDAD DISTRITAL DE HUALGAYOC;HUALGAYOC;CAJAMARCA;60703;4.365737684;1630351.27;1;69.26965759;0.198883409;162.9052348;25.59854567;17858.5;1630351.27
2005;03-300651;CALQUIS;  MUNICIPALIDAD DISTRITAL DE CALQUIS;SAN MIGUEL;CAJAMARCA;61103;3.947230134;488338.28;1;71.30938213;0.211349949;175.4756475;31.71653476;4913;488338.28
2005;04-300652;CATILLUC;  MUNICIPALIDAD DISTRITAL DE CATILLUC;SAN MIGUEL;CAJAMARCA;61104;4.202093049;350479.77;1;69.9532556;0.210451202;170.4771672;31.50788835;3729.5;350479.77
2005;07-300738;QUIÑOTA;  MUNICIPALIDAD DISTRITAL DE QUIÑOTA;CHUMBIVILCAS;CUSCO;80707;3.580155884;36796.26;1;64.9295464;0.165902904;131.9302263;27.74110625;4439;638215.04
2005;08-300739;VELILLE;  MUNICIPALIDAD DISTRITAL DE VELILLE;CHUMBIVILCAS;CUSCO;80708;4.809474315;61768.62;1;67.7055193;0.208715628;169.0080457;26.4866143;7932;1055931.77
2005;01-300740;ESPINAR;  MUNICIPALIDAD PROVINCIAL DE ESPINAR;ESPINAR;CUSCO;80801;7.403705632;3949037.55;1;68.422532;0.309772388;238.5743843;63.67854986;31544.5;6995134.38
2005;06-300857;OCOYO;  MUNICIPALIDAD DISTRITAL DE OCOYO;HUAYTARA;HUANCAVELICA;90606;7.059222904;185245.94;1;69.0374766;0.183756735;123.8791724;15.44134403;1488.5;523503.49
2005;04-300988;MARCONA;  MUNICIPALIDAD DISTRITAL DE MARCONA;NASCA;ICA;110304;10.99743389;930267.75;2;74.81715508;0.464075057;484.2020471;67.71549825;13436.5;2238213.43
2005;08-301008;CHONGOS ALTO;  MUNICIPALIDAD DISTRITAL DE CHONGOS ALTO;HUANCAYO;JUNIN;120108;5.41454713;12060.29;1;68.54984215;0.286647471;237.1226963;65.45731002;2074;15461.39
2005;05-301112;MOROCOCHA;  MUNICIPALIDAD DISTRITAL DE MOROCOCHA;YAULI;JUNIN;120805;9.80832623;289972.3;1;69.875547;0.39227533;378.615041;59.64428872;6194;377227.62
2005;07-301114;SANTA BARBARA DE CARHUACAYAN;  MUNICIPALIDAD DISTRITAL DE SANTA BARBARA DE CARHUACAYAN;YAULI;JUNIN;120807;7.039701179;32899.61;1;70.2238586;0.302487072;251.8887346;50.04325691;1619;44264.59
2005;14-301170;USQUIL;  MUNICIPALIDAD DISTRITAL DE USQUIL;OTUZCO;LA LIBERTAD;130614;3.538361703;210345.68;1;71.60762405;0.191289963;198.7243696;16.11625768;26943.5;330565.64
2005;08-301183;PARCOY;  MUNICIPALIDAD DISTRITAL DE PARCOY;PATAZ;LA LIBERTAD;130808;7.409594939;1741194.36;1;69.19885737;0.26034879;224.9259611;24.53084583;14149;3098290.41
2005;01-301189;HUAMACHUCO;  MUNICIPALIDAD PROVINCIAL DE SANCHEZ CARRION - HUAMACHUCO;SANCHEZ CARRION;LA LIBERTAD;130901;5.160769463;344642.51;1;69.42271533;0.253745909;219.1403932;38.12007862;48979;542725.33
2005;03-301199;CACHICADAN;  MUNICIPALIDAD DISTRITAL DE CACHICADAN;SANTIAGO DE CHUCO;LA LIBERTAD;131003;6.181182152;136438.61;1;71.55057956;0.267068917;246.8884313;26.64805641;5925;301502.02
2005;02-301482;CARUMAS;  MUNICIPALIDAD DISTRITAL DE CARUMAS;MARISCAL NIETO;MOQUEGUA;180102;6.660985328;7889471.57;1;73.8675124;0.345052836;299.2521116;66.16176292;4629.5;11315984.49
2005;06-301486;TORATA;  MUNICIPALIDAD DISTRITAL DE TORATA;MARISCAL NIETO;MOQUEGUA;180106;9.3445577;20166873.87;1;74.44582848;0.452056043;483.8936782;71.59875962;7316.5;35547400.01
2005;09-301509;SIMON BOLIVAR;  MUNICIPALIDAD DISTRITAL DE SIMON BOLIVAR;PASCO;PASCO;190109;9.676542777;1719974.34;3;71.0166503;0.368233399;286.8064291;74.39918575;15558;2354753.7
2005;11-301511;TINYAHUARCO;  MUNICIPALIDAD DISTRITAL DE TINYAHUARCO;PASCO;PASCO;190111;9.5776764;419509.76;1;70.8229769;0.367365801;293.3929174;70.18923178;5301.5;1041963.98
2005;05-301657;OCUVIRI;  MUNICIPALIDAD DISTRITAL DE OCUVIRI;LAMPA;PUNO;210705;7.507736897;87940.21;2;64.2357247;0.235059699;162.7412661;43.79458555;2422;112569.19
