AÑO;CODIGO;DISTRITO;MUNICIPALIDAD;PROVINCIA;REGION;UBIGEO;AÑOS DE EDUCACION;CANON MINERO;ESPERANZA DE VIDA;IDH;INGRESO FAMILIAR;METODOS DE EXPLOTACION;POBLACION 18 AÑOS;POBLACION;TOTAL DE TRANSFERENCIAS
2004;24-300354;UCHUMAYO;  MUNICIPALIDAD DISTRITAL DE UCHUMAYO;AREQUIPA;AREQUIPA;40124;10.22;123568.22;72.01;0.44;430.41;1.00;78.88;9654.00;123568.22
2004;27-300357;YARABAMBA;  MUNICIPALIDAD DISTRITAL DE YARABAMBA;AREQUIPA;AREQUIPA;40127;9.31;70540.67;71.41;0.42;376.06;1.00;93.98;1027.00;70540.67
2004;28-300358;YURA;  MUNICIPALIDAD DISTRITAL DE YURA;AREQUIPA;AREQUIPA;40128;7.83;158526.19;71.96;0.38;333.26;1.00;83.37;12984.00;158526.19
2004;07-300366;QUILCA;  MUNICIPALIDAD DISTRITAL DE QUILCA;CAMANA;AREQUIPA;40207;7.66;19334.83;71.22;0.39;381.31;1.00;72.75;1043.00;19334.83
2004;07-300374;CHALA;  MUNICIPALIDAD DISTRITAL DE CHALA;CARAVELI;AREQUIPA;40307;9.87;118954.26;72.24;0.39;394.31;2.00;47.41;4063.00;118954.26
2004;08-300375;CHAPARRA;  MUNICIPALIDAD DISTRITAL DE CHAPARRA;CARAVELI;AREQUIPA;40308;9.01;118837.44;71.38;0.37;358.16;1.00;53.10;2876.50;118837.44
2004;09-300376;HUANUHUANU;  MUNICIPALIDAD DISTRITAL DE HUANUHUANU;CARAVELI;AREQUIPA;40309;7.81;133846.39;69.29;0.34;298.97;1.00;62.08;2294.00;133846.39
2004;09-300389;ORCOPAMPA;  MUNICIPALIDAD DISTRITAL DE ORCOPAMPA;CASTILLA;AREQUIPA;40409;8.91;646269.06;69.68;0.36;351.61;1.00;46.38;7676.00;646269.06
2004;04-300398;CALLALLI;  MUNICIPALIDAD DISTRITAL DE CALLALLI;CAYLLOMA;AREQUIPA;40504;5.88;50665.16;67.79;0.32;308.24;1.00;64.79;2882.50;50665.16
2004;05-300399;CAYLLOMA;  MUNICIPALIDAD DISTRITAL DE CAYLLOMA;CAYLLOMA;AREQUIPA;40505;6.56;85982.30;67.48;0.27;298.71;2.00;24.22;4668.00;85982.30
2004;16-300410;TAPAY;  MUNICIPALIDAD DISTRITAL DE TAPAY;CAYLLOMA;AREQUIPA;40516;3.79;14477.63;67.68;0.29;285.01;1.00;99.95;754.50;14477.63
2004;03-300417;CAYARANI;  MUNICIPALIDAD DISTRITAL DE CAYARANI;CONDESUYOS;AREQUIPA;40603;7.08;96212.73;65.70;0.28;287.36;1.00;32.23;4246.00;96212.73
2004;06-300420;RIO GRANDE;  MUNICIPALIDAD DISTRITAL DE RIO GRANDE;CONDESUYOS;AREQUIPA;40606;8.50;79694.59;71.52;0.40;368.26;1.00;81.11;4683.50;79694.59
2004;08-300422;YANAQUIHUA;  MUNICIPALIDAD DISTRITAL DE YANAQUIHUA;CONDESUYOS;AREQUIPA;40608;7.45;76936.38;68.50;0.34;310.82;1.00;60.90;4327.00;76936.38
2004;05-300483;CHAVIÑA;  MUNICIPALIDAD DISTRITAL DE CHAVIÑA;LUCANAS;AYACUCHO;50605;5.37;2212.00;67.53;0.22;154.94;1.00;37.19;2700.50;2212.00
2004;02-300501;CHUMPI;  MUNICIPALIDAD DISTRITAL DE CHUMPI;PARINACOCHAS;AYACUCHO;50702;4.97;22267.00;63.91;0.21;163.77;1.00;36.42;3144.50;22267.00
2004;06-300513;OYOLO;  MUNICIPALIDAD DISTRITAL DE OYOLO;PAUCAR DEL SARA SARA;AYACUCHO;50806;5.22;644.00;71.24;0.16;145.24;1.00;5.61;1148.00;644.00
2004;05-300533;CANARIA;  MUNICIPALIDAD DISTRITAL DE CANARIA;VICTOR FAJARDO;AYACUCHO;51005;7.04;1953.00;69.51;0.25;185.50;1.00;30.67;3850.50;1953.00
2004;01-300549;CAJAMARCA;  MUNICIPALIDAD PROVINCIAL DE CAJAMARCA;CAJAMARCA;CAJAMARCA;60101;9.17;9508778.91;71.81;0.36;303.59;1.00;60.32;170914.50;9508778.91
2004;05-300553;ENCAÑADA;  MUNICIPALIDAD DISTRITAL DE ENCAÑADA;CAJAMARCA;CAJAMARCA;60105;3.44;5821111.61;68.40;0.18;160.73;2.00;21.33;25085.50;5821111.61
2004;02-300563;CACHACHI;  MUNICIPALIDAD DISTRITAL DE CACHACHI;CAJABAMBA;CAJAMARCA;60202;3.50;1299405.99;70.74;0.17;170.86;1.00;12.96;24100.00;1299405.99
2004;08-300604;YONAN;  MUNICIPALIDAD DISTRITAL DE YONAN;CONTUMAZA;CAJAMARCA;60508;7.38;451758.77;71.47;0.34;315.13;1.00;53.51;7823.50;451758.77
2004;03-300622;HUALGAYOC;  MUNICIPALIDAD DISTRITAL DE HUALGAYOC;HUALGAYOC;CAJAMARCA;60703;4.37;1257337.88;69.27;0.20;162.91;1.00;25.60;17858.50;1257337.88
2004;03-300651;CALQUIS;  MUNICIPALIDAD DISTRITAL DE CALQUIS;SAN MIGUEL;CAJAMARCA;61103;3.95;346869.47;71.31;0.21;175.48;1.00;31.72;4913.00;346869.47
2004;04-300652;CATILLUC;  MUNICIPALIDAD DISTRITAL DE CATILLUC;SAN MIGUEL;CAJAMARCA;61104;4.20;293239.53;69.95;0.21;170.48;1.00;31.51;3729.50;293239.53
2004;09-300674;SEXI;  MUNICIPALIDAD DISTRITAL DE SEXI;SANTA CRUZ;CAJAMARCA;61309;6.35;37437.16;69.54;0.26;170.30;1.00;66.11;524.50;37437.16
2004;07-300738;QUIÑOTA;  MUNICIPALIDAD DISTRITAL DE QUIÑOTA;CHUMBIVILCAS;CUSCO;80707;3.58;;64.93;0.17;131.93;1.00;27.74;4439.00;177571.22
2004;08-300739;VELILLE;  MUNICIPALIDAD DISTRITAL DE VELILLE;CHUMBIVILCAS;CUSCO;80708;4.81;;67.71;0.21;169.01;1.00;26.49;7932.00;301736.31
2004;01-300740;ESPINAR;  MUNICIPALIDAD PROVINCIAL DE ESPINAR;ESPINAR;CUSCO;80801;7.40;;68.42;0.31;238.57;1.00;63.68;31544.50;859213.56
2004;07-300746;SUYCKUTAMBO;  MUNICIPALIDAD DISTRITAL DE SUYCKUTAMBO;ESPINAR;CUSCO;80807;3.63;;66.18;0.19;153.26;1.00;35.74;3107.00;134432.06
2004;06-300797;HUACHOCOLPA;  MUNICIPALIDAD DISTRITAL DE HUACHOCOLPA;HUANCAVELICA;HUANCAVELICA;90106;6.49;3625.76;64.97;0.22;172.68;1.00;25.12;3082.50;3625.76
2004;04-300820;CCOCHACCASA;  MUNICIPALIDAD DISTRITAL DE CCOCHACCASA;ANGARAES;HUANCAVELICA;90304;4.61;5247.51;66.53;0.19;137.79;1.00;32.71;3953.50;5247.51
